Petstore,,,Direct Connect Store,,,Formula,,Output
Dog,Wellness,Cooling Bandanas and Jackets,Pet Items,Dog Wellness,,Dog/Wellness/Cooling Bandanas and Jackets==Pet Items/Dog Wellness,,Dog/Wellness/Cooling Bandanas and Jackets==Pet Items/Dog Wellness
Dog,Wellness,Ear Care,Pet Items,Dog Wellness,,Dog/Wellness/Ear Care==Pet Items/Dog Wellness,,Dog/Wellness/Ear Care==Pet Items/Dog Wellness
Dog,Wellness,Eye Care,Pet Items,Dog Wellness,,Dog/Wellness/Eye Care==Pet Items/Dog Wellness,,Dog/Wellness/Eye Care==Pet Items/Dog Wellness
Dog,Wellness,Goggles,Pet Items,Dog Wellness,,Dog/Wellness/Goggles==Pet Items/Dog Wellness,,Dog/Wellness/Goggles==Pet Items/Dog Wellness
Dog,Wellness,Joint Care,Pet Items,Dog Wellness,,Dog/Wellness/Joint Care==Pet Items/Dog Wellness,,Dog/Wellness/Joint Care==Pet Items/Dog Wellness
Dog,Wellness,Shoes,Pet Items,Dog Wellness,,Dog/Wellness/Shoes==Pet Items/Dog Wellness,,Dog/Wellness/Shoes==Pet Items/Dog Wellness
Dog,Wellness ,Daily Supplements,Pet Items,Dog Wellness,,Dog/Wellness /Daily Supplements==Pet Items/Dog Wellness,,Dog/Wellness /Daily Supplements==Pet Items/Dog Wellness
Dog,Wellness ,Joint Care,Pet Items,Dog Wellness,,Dog/Wellness /Joint Care==Pet Items/Dog Wellness,,Dog/Wellness /Joint Care==Pet Items/Dog Wellness
Dog,Wellness ,Pain Relief,Pet Items,Dog Wellness,,Dog/Wellness /Pain Relief==Pet Items/Dog Wellness,,Dog/Wellness /Pain Relief==Pet Items/Dog Wellness
Fish,Pond Supplies,Pond Supplies,Pet Items,Fish Pond Supplies,,Fish/Pond Supplies/Pond Supplies==Pet Items/Fish Pond Supplies,,Fish/Pond Supplies/Pond Supplies==Pet Items/Fish Pond Supplies
Outdoor,Hose,Heated,Pet Items,Outdoor Hose,,Outdoor/Hose/Heated==Pet Items/Outdoor Hose,,Outdoor/Hose/Heated==Pet Items/Outdoor Hose
Small Animal,Cages,Cages,Pet Items,Small Animal Cages,,Small Animal/Cages/Cages==Pet Items/Small Animal Cages,,Small Animal/Cages/Cages==Pet Items/Small Animal Cages
Small Pet,Beds,Heated Beds,Pet Items,Small Pet Beds,,Small Pet/Beds/Heated Beds==Pet Items/Small Pet Beds,,Small Pet/Beds/Heated Beds==Pet Items/Small Pet Beds
Small Pet,Cages,Accessories,Pet Items,Small Pet Cages,,Small Pet/Cages/Accessories==Pet Items/Small Pet Cages,,Small Pet/Cages/Accessories==Pet Items/Small Pet Cages
Small Pet,Cages,Cages,Pet Items,Small Pet Cages,,Small Pet/Cages/Cages==Pet Items/Small Pet Cages,,Small Pet/Cages/Cages==Pet Items/Small Pet Cages
Small Pet,Containment,Deterrent,Pet Items,Small Pet Containment,,Small Pet/Containment/Deterrent==Pet Items/Small Pet Containment,,Small Pet/Containment/Deterrent==Pet Items/Small Pet Containment
Small Pet,Toys,Interactive,Pet Items,Small Pet Toys,,Small Pet/Toys/Interactive==Pet Items/Small Pet Toys,,Small Pet/Toys/Interactive==Pet Items/Small Pet Toys
